govdata
id,category_id,Feb 20,Mar 20,Apr 20,May 20,Jun 20,Jul 20,Aug 20,Sep 20,Oct 20,Nov 20,Dec 20,Jan 20
1,1,16.70,20.36,20.46,19.21,17.93,18.18,18.08,18.38,18.89,18.30,17.85,18.66
2,8,26.66,30.43,35.96,31.03,29.12,27.61,27.97,27.74,27.53,28.81,29.35,29.63
3,3,13.29,13.43,14.41,15.79,15.32,15.00,14.82,14.84,14.98,15.01,14.64,14.04
4,5,5.19,3.33,2.26,3.49,4.81,5.06,4.87,4.92,4.90,4.91,4.34,3.63
5,4,19.63,15.26,12.02,14.70,16.87,17.37,17.41,17.18,17.21,16.40,17.27,17.61
6,6,4.98,5.63,4.93,5.01,5.27,5.43,5.37,5.47,5.25,5.52,5.59,5.64
7,7,10.59,8.01,5.96,6.95,7.34,7.95,8.17,7.97,7.94,7.73,7.69,7.15
8,2,2.96,3.56,4.00,3.82,3.34,3.39,3.30,3.51,3.28,3.32,3.26,3.64
